element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""""","=""424.987""","=""""","=""""","=""2.59e+06""",C,"=""12.0001429""","=""14.91669""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""425.016""","=""""","=""""","=""2.24e+05""",C,"=""12.0001429""","=""14.91649""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
Ar,1,"=""425.1185""","=""""","=""425.11849""","=""""","=""25""","=""1.11e+05""",C+,"=""11.54835442""","=""14.46399577""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,1,"=""425.9362""","=""""","=""425.93617""","=""""","=""200""","=""3.98e+06""",B+,"=""11.82807116""","=""14.73811536""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
N,1,"=""""","=""""","=""426.400""","=""""","=""""","=""2.26e+06""",C,"=""12.0096116""","=""14.91649""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
Ar,1,"=""426.6286""","=""""","=""426.62867""","=""""","=""100""","=""3.1e+05""",C+,"=""11.62359272""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,1,"=""427.2169""","=""""","=""427.21689""","=""""","=""150""","=""8.0e+05""",B,"=""11.62359272""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
B,2,"=""427.273""","=""0.010""","=""427.274""","=""0.009""","=""50""","=""""",,"=""20.624138""","=""23.52507""","=""1s2.2s.4s""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0,1,2""",,"=""""","=""L12120""",
N,1,"=""""","=""""","=""427.328""","=""""","=""""","=""8.28e+05""",C+,"=""12.1263787""","=""15.02695""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""427.813""","=""""","=""""","=""5.01e+06""",C+,"=""12.0001429""","=""14.89742""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""427.917""","=""""","=""""","=""3.61e+05""",C+,"=""12.0001429""","=""14.89671""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""429.216""","=""""","=""""","=""5.57e+05""",C+,"=""12.0096116""","=""14.89742""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""429.321""","=""""","=""""","=""5.21e+06""",C+,"=""12.0096116""","=""14.89671""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
